77,Annemasse,Annemasse,6.23638900,46.19922300,1,2018-01-31 13:43:41,2018-12-17 03:46:10
78,Anor,Anor,4.09338800,49.98500000,1,2018-01-31 13:43:41,2018-12-17 04:30:39
79,Anse,Anse,4.71974400,45.93933000,1,2018-01-31 13:43:41,2018-12-17 04:25:51
80,Anthéor-Cap-Roux,Anthéor Cap Roux,6.89222500,43.43497100,1,2018-01-31 13:43:41,2018-12-17 03:45:20
81,Antibes,Antibes,7.11951200,43.58579400,1,2018-01-31 13:43:41,2018-12-17 04:26:40
82,Antony (Antony),Antony,2.30099100,48.75465900,1,2018-01-31 13:43:41,2018-12-17 04:31:34
83,Anvers/Antwerpen C.,Anvers/Antwerpen C.,4.42120000,51.21615800,1,2018-01-31 13:43:41,2018-12-17 04:31:49
84,Apach (Moselle),Apach,6.37236900,49.45891200,1,2018-01-31 13:43:41,2018-12-13 03:44:21
85,Appenweier,Appenweier,7.97367200,48.54132600,1,2018-01-31 13:43:41,2018-12-17 03:42:16
86,Appilly,Appilly,3.12122500,49.58071300,1,2018-01-31 13:43:41,2018-12-17 03:31:02
87,Arbanats,Arbanats,-0.39556500,44.67429000,1,2018-01-31 13:43:41,2018-12-17 03:36:25
88,Arbois (Jura),Arbois,5.76476200,46.91241600,1,2018-01-31 13:43:41,2018-12-17 04:30:04
89,Arc-et-Senans,Arc et Senans,5.77693000,47.03044700,1,2018-01-31 13:43:41,2018-12-17 04:30:04
90,Arcachon,Arcachon,-1.16538900,44.65890500,1,2018-01-31 13:43:41,2018-12-17 03:36:01
91,Arçay,Arçay,0.00000000,0.00000000,1,2018-01-31 13:43:41,2018-07-06 00:05:09
92,Arches,Arches,6.52800000,48.11994100,1,2018-01-31 13:43:41,2018-12-17 03:32:38
93,Arcueil-Cachan (Cachan),Arcueil Cachan,2.32798100,48.79841800,1,2018-01-31 13:43:41,2018-12-17 04:35:03
94,Arcy-sur-Cure,Arcy sur Cure,3.76705300,47.60061000,1,2018-01-31 13:43:41,2018-12-17 03:44:54
95,Arenc-Euroméditerranée,Arenc Euroméditerranée,5.36793100,43.31351200,1,2018-01-31 13:43:41,2018-12-17 04:27:14
96,Arengosse,Arengosse,-0.80875900,44.00691000,1,2018-01-31 13:43:41,2018-12-17 04:30:25
97,Argelès-sur-Mer,Argelès sur Mer,3.02151100,42.54394600,1,2018-01-31 13:43:41,2018-12-17 03:43:40
98,Argentan,Argentan,-0.02571100,48.73846600,1,2018-01-31 13:43:41,2018-12-17 04:31:56
99,Argenteuil,Argenteuil,2.25719700,48.94700700,1,2018-01-31 13:43:41,2018-12-17 04:17:25
100,Argentière (Hte-Savoie),Argentière,6.92672000,45.98200200,1,2018-01-31 13:43:41,2018-12-17 03:39:15
101,Argenton-sur-Creuse,Argenton sur Creuse,1.51822300,46.59222100,1,2018-01-31 13:43:41,2018-12-17 04:22:44
102,Arles,Arles,4.63202500,43.68484200,1,2018-01-31 13:43:41,2018-12-17 04:30:37
103,Arleux,Arleux,3.12070600,50.28620500,1,2018-01-31 13:43:41,2018-12-17 04:21:52
104,Armentières,Armentières,2.87753100,50.68077800,1,2018-01-31 13:43:41,2018-12-17 04:31:44
105,Arnage,Arnage,0.18986800,47.92857200,1,2018-01-31 13:43:41,2018-12-17 04:27:09
106,Arnèke,Arnèke,2.40846000,50.83157400,1,2018-01-31 13:43:41,2018-12-17 04:31:44
107,Arpajon,Arpajon,2.24093400,48.58618600,1,2018-01-31 13:43:41,2018-12-17 03:30:54
108,Arpajon (Arpajon),Arpajon,2.24093400,48.58618600,1,2018-01-31 13:43:41,2018-12-17 04:18:11
109,Arras,Arras,2.78115400,50.28682700,1,2018-01-31 13:43:41,2018-12-17 04:32:10
110,Arrou,Arrou,1.12819900,48.09989200,1,2018-01-31 13:43:41,2018-12-17 03:39:55
111,Ars-sur-Moselle,Ars sur Moselle,6.07792900,49.07453800,1,2018-01-31 13:43:41,2018-12-17 03:32:33
112,Artenay,Artenay,1.88336300,48.08065500,1,2018-01-31 13:43:41,2018-12-17 03:36:59
113,Artix,Artix,-0.57014200,43.39317900,1,2018-01-31 13:43:41,2018-12-17 04:21:42
114,Arvant,Arvant,3.31048300,45.36537900,1,2018-01-31 13:43:41,2018-12-17 04:26:00
115,Ascq,Ascq,3.15990300,50.62176100,1,2018-01-31 13:43:41,2018-12-17 03:38:42
116,Ashford-International,Ashford International,0.87481400,51.14354000,1,2018-01-31 13:43:41,2018-12-17 04:31:45
117,Asnières,Asnières,2.28334100,48.90578000,1,2018-01-31 13:43:41,2018-12-17 04:17:43
118,Aspres-sur-Buech,Aspres sur Buech,5.75455300,44.51939100,1,2018-01-31 13:43:41,2018-12-17 03:46:26
119,Assat,Assat,-0.29523800,43.25461000,1,2018-01-31 13:43:41,2018-12-17 04:21:42
120,Assier,Assier,1.86974400,44.67458400,1,2018-01-31 13:43:41,2018-12-17 04:29:53
121,Athis-Mons (Athis-Mons),Athis Mons,2.40316100,48.71279600,1,2018-01-31 13:43:41,2018-12-17 03:59:04
